"match_id","home","away","home_goals","away_goals","sum_pass_length","mn_pass_length","goals"
"eng_ARS_BOU_1718","Arsenal","AFC Bournemouth",3,0,19801,21,3
"eng_ARS_BRH_1718","Arsenal","Brighton & Hove Albion",2,0,18206,18,2
"eng_ARS_BUR_1718","Arsenal","Burnley",5,0,20226,20,5
"eng_ARS_CHE_1718","Arsenal","Chelsea",2,2,19762,20,4
"eng_ARS_CRY_1718","Arsenal","Crystal Palace",4,1,21088,18,5
"eng_ARS_EVE_1718","Arsenal","Everton",5,1,17023,19,6
"eng_ARS_HUD_1718","Arsenal","Huddersfield Town",5,0,20638,19,5
"eng_ARS_LEI_1718","Arsenal","Leicester City",4,3,17445,21,7
"eng_ARS_LIV_1718","Arsenal","Liverpool",3,3,18784,21,6
"eng_ARS_MCI_1718","Arsenal","Manchester City",0,3,20777,18,3
"eng_ARS_MUN_1718","Arsenal","Manchester United",1,3,15519,19,4
"eng_ARS_NEW_1718","Arsenal","Newcastle United",1,0,19398,20,1
"eng_ARS_SOU_1718","Arsenal","Southampton",3,2,19295,19,5
"eng_ARS_STO_1718","Arsenal","Stoke City",3,0,16412,19,3
"eng_ARS_SWA_1718","Arsenal","Swansea City",2,1,20768,20,3
"eng_ARS_TOT_1718","Arsenal","Tottenham Hotspur",2,0,19593,22,2
"eng_ARS_WAT_1718","Arsenal","Watford",3,0,14368,18,3
"eng_ARS_WBA_1718","Arsenal","West Bromwich Albion",2,0,17066,20,2
"eng_ARS_WHU_1718","Arsenal","West Ham United",4,1,16776,19,5
"eng_BOU_ARS_1718","AFC Bournemouth","Arsenal",2,1,16275,19,3
"eng_BOU_BRH_1718","AFC Bournemouth","Brighton & Hove Albion",2,1,20057,20,3
"eng_BOU_BUR_1718","AFC Bournemouth","Burnley",1,2,18592,21,3
"eng_BOU_CHE_1718","AFC Bournemouth","Chelsea",0,1,21052,19,1
"eng_BOU_CRY_1718","AFC Bournemouth","Crystal Palace",2,2,18098,20,4
"eng_BOU_EVE_1718","AFC Bournemouth","Everton",2,1,16794,20,3
"eng_BOU_HUD_1718","AFC Bournemouth","Huddersfield Town",4,0,15742,21,4
"eng_BOU_LEI_1718","AFC Bournemouth","Leicester City",0,0,16726,20,0
"eng_BOU_LIV_1718","AFC Bournemouth","Liverpool",0,4,22615,20,4
"eng_BOU_MCI_1718","AFC Bournemouth","Manchester City",1,2,16996,21,3
"eng_BOU_MUN_1718","AFC Bournemouth","Manchester United",0,2,18088,19,2
"eng_BOU_NEW_1718","AFC Bournemouth","Newcastle United",2,2,17542,21,4
"eng_BOU_SOU_1718","AFC Bournemouth","Southampton",1,1,17120,20,2
"eng_BOU_STO_1718","AFC Bournemouth","Stoke City",2,1,15207,21,3
"eng_BOU_SWA_1718","AFC Bournemouth","Swansea City",1,0,15481,20,1
"eng_BOU_TOT_1718","AFC Bournemouth","Tottenham Hotspur",1,4,18427,22,5
"eng_BOU_WAT_1718","AFC Bournemouth","Watford",0,2,18490,24,2
"eng_BOU_WBA_1718","AFC Bournemouth","West Bromwich Albion",2,1,19611,22,3
"eng_BOU_WHU_1718","AFC Bournemouth","West Ham United",3,3,13940,20,6
"eng_BRH_ARS_1718","Brighton & Hove Albion","Arsenal",2,1,15251,18,3
"eng_BRH_BOU_1718","Brighton & Hove Albion","AFC Bournemouth",2,2,14608,20,4
"eng_BRH_BUR_1718","Brighton & Hove Albion","Burnley",0,0,18155,23,0
"eng_BRH_CHE_1718","Brighton & Hove Albion","Chelsea",0,4,17184,20,4
"eng_BRH_CRY_1718","Brighton & Hove Albion","Crystal Palace",0,0,17126,21,0
"eng_BRH_EVE_1718","Brighton & Hove Albion","Everton",1,1,17601,22,2
