"minute","result","X","Y","xG","player","h_a","situation","shotType","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction","Outcome","zone"
10,"MissedShots",95.8650032043457,36.6520010375977,0.053464014083147,"Frank Onyeka","h","OpenPlay","Head","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"Aerial","NoGoal","zone2"
11,"ShotOnPost",95.3400032043457,21.42,0.118296608328819,"Bryan Mbeumo","h","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Ivan Toney","Throughball","NoGoal","zone2"
21,"Goal",91.7700016021728,47.4640020751953,0.0521447248756886,"Sergi Canos","h","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Ethan Pinnock","BallRecovery","Goal","zone2"
27,"MissedShots",85.2599967956543,32.5039994812011,0.0657062008976936,"Sergi Canos","h","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Frank Onyeka","Pass","NoGoal","zone2"
29,"MissedShots",93.6599967956543,24.2760005187989,0.0806906223297119,"Bryan Mbeumo","h","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kristoffer Ajer","Chipped","NoGoal","zone2"
65,"SavedShot",92.6099967956543,22.5760005187989,0.0725837647914886,"Sergi Canos","h","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Bryan Mbeumo","Pass","NoGoal","zone2"
72,"Goal",101.745001602173,32.7079989624023,0.886598229408264,"Christian Nørgaard","h","OpenPlay","Head","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"Aerial","Goal","zone1"
79,"MissedShots",102.165003204346,35.9039994812011,0.558695793151855,"Christian Nørgaard","h","FromCorner","Head","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Sergi Canos","Aerial","NoGoal","zone1"
1,"SavedShot",75.075,36.1760005187988,0.0172221008688211,"Kieran Tierney","a","FromCorner","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Nicolas Pepe","Pass","NoGoal","zone3"
15,"MissedShots",88.9349967956543,21.2160005187989,0.0255659073591232,"Calum Chambers","a","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Cross","NoGoal","zone3"
30,"MissedShots",96.1799983978272,35.02,0.0964953154325485,"Folarin Balogun","a","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"BallTouch","NoGoal","zone2"
32,"MissedShots",85.9950016021728,18.36,0.0244100484997034,"Nicolas Pepe","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Gabriel Martinelli","Pass","NoGoal","zone3"
37,"MissedShots",86.625,50.8640020751953,0.0191921927034855,"Folarin Balogun","a","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"BallTouch","NoGoal","zone3"
41,"MissedShots",95.025,35.2239994812011,0.0417672991752625,"Folarin Balogun","a","OpenPlay","Head","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Aerial","NoGoal","zone2"
45,"BlockedShot",90.5099967956543,25.2279989624023,0.0513841509819031,"Nicolas Pepe","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Gabriel Martinelli","Pass","NoGoal","zone2"
50,"SavedShot",89.4599967956543,37.4,0.0719166472554207,"Emile Smith-Rowe","a","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Pass","NoGoal","zone2"
59,"SavedShot",78.5400032043457,25.0920010375977,0.0178268328309059,"Albert Sambi Lokonga","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Nicolas Pepe","Pass","NoGoal","zone3"
63,"BlockedShot",90.3,45.2879989624023,0.0445739440619946,"Kieran Tierney","a","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Bukayo Saka","BallTouch","NoGoal","zone2"
64,"MissedShots",101.429998397827,38.5560005187989,0.12124115228653,"Gabriel Martinelli","a","FromCorner","Head","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Nicolas Pepe","Cross","NoGoal","zone1"
66,"BlockedShot",85.2599967956543,23.3239994812011,0.0362264439463615,"Calum Chambers","a","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Granit Xhaka","Pass","NoGoal","zone3"
69,"MissedShots",93.2400032043457,43.1120010375977,0.0555610507726669,"Granit Xhaka","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Calum Chambers","Cross","NoGoal","zone2"
75,"MissedShots",93.6599967956543,45.56,0.0910058617591858,"Kieran Tierney","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Emile Smith-Rowe","Throughball","NoGoal","zone2"
76,"MissedShots",84.7349967956543,52.1559979248047,0.0509188584983349,"Nicolas Pepe","a","DirectFreekick","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"Standard","NoGoal","zone3"
82,"MissedShots",81.0599967956543,19.5160005187989,0.0141945825889707,"Nuno Tavares","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Albert Sambi Lokonga","Pass","NoGoal","zone3"
85,"MissedShots",78.5400032043457,29.1720010375977,0.0188078135251999,"Granit Xhaka","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Albert Sambi Lokonga","Pass","NoGoal","zone3"
86,"SavedShot",90.825,40.7320010375976,0.0856827199459076,"Nicolas Pepe","a","OpenPlay","LeftFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Pass","NoGoal","zone2"
86,"MissedShots",100.065003204346,27.8120010375976,0.0315681435167789,"Pablo Marí","a","FromCorner","Head","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Emile Smith-Rowe","Aerial","NoGoal","zone1"
90,"MissedShots",74.1299983978272,37.3320010375977,0.0102657359093428,"Albert Sambi Lokonga","a","OpenPlay","RightFoot","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Pass","NoGoal","zone3"
