"row_id","player_name","marketval","position_tm","competition","team","Name.Wyscout"
"1","Aaron Cresswell",12000000,"Left-Back","English first division","West Ham United","A. Cresswell"
"2","Aaron Hunt",1500000,"Attacking Midfield","German first division","Hamburger SV","A. Hunt"
"3","Aaron Lennon",5000000,"Right Winger","English first division","Everton","A. Lennon"
"4","Aarón Martín",12000000,"Left-Back","Spanish first division","Espanyol","Aarón"
"5","Aaron Mooy",10000000,"Central Midfield","English first division","Huddersfield Town","A. Mooy"
"6","Aaron Ramsey",45000000,"Central Midfield","English first division","Arsenal","A. Ramsey"
"7","Aaron Wan-Bissaka",1000000,"Right-Back","English first division","Crystal Palace","A. Wan-Bissaka"
"8","Abdallah Ndour",NA,"Left-Back","French first division","Strasbourg","A. N'Dour"
"9","Abdelhamid Sabiri",1000000,"Attacking Midfield","English first division","Huddersfield Town","A. Sabiri"
"10","Abdoul Camara",1000000,"Left Winger","French first division","Guingamp","R. Camara"
"11","Abdoulaye Bamba",1000000,"Right-Back","French first division","Angers","A. Bamba"
"12","Abdoulaye Diallo",1000000,"Goalkeeper","French first division","Rennes","A. Diallo"
"13","Abdoulaye Doucouré",15000000,"Central Midfield","English first division","Watford","A. Doucouré"
"14","Abdoulaye Touré",8000000,"Defensive Midfield","French first division","Nantes","A. Touré"
"15","Abdul-Rahman Baba",8000000,"Left-Back","German first division","Schalke 04","A. Baba"
"16","Ablie Jallow",NA,"Right Winger","French first division","Metz","A. Jallow"
"17","Achraf Hakimi",5000000,"Right-Back","Spanish first division","Real Madrid","A. Hakimi"
"18","Achraf Lazaar",1000000,"Left-Back","Italian first division","Benevento","A. Lazaar"
"19","Adalberto Peñaranda",2000000,"Left Winger","Spanish first division","Málaga","A. Peñaranda"
"20","Adam Lallana",25000000,"Attacking Midfield","English first division","Liverpool","A. Lallana"
"21","Adam Marusic",10000000,"Right-Back","Italian first division","Lazio","A. Marušić"
"22","Adam Masina",7000000,"Left-Back","Italian first division","Bologna","A. Masina"
