"player_name","Name.Wyscout","marketval","position_tm","competition","team","player_id","foot","position_wy","passes","success_passes","pass_length","pass_mean_pos_x","pass_mean_pos_y","n_shots","totxg","totxa"
"Aaron Cresswell","A. Cresswell",12000000,"Left-Back","English first division","West Ham United",8582,"left","Defender",1350,1049,34709.5144781449,49.13,11.57,14,0.617,2.812
"Aaron Hunt","A. Hunt",1500000,"Attacking Midfield","German first division","Hamburger SV",14706,"left","Midfielder",941,749,20622.8715762774,62.11,38.83,19,2.321,4.582
"Aaron Lennon","A. Lennon",5000000,"Right Winger","English first division","Everton",8284,"right","Midfielder",497,364,10235.5575415351,65.05,45.58,15,0.994,2.476
"Aarón Martín","Aarón",12000000,"Left-Back","Spanish first division","Espanyol",282438,"left","Defender",1061,826,24574.8285283169,53.49,8.88,5,0.198,3.872
"Aaron Mooy","A. Mooy",10000000,"Central Midfield","English first division","Huddersfield Town",62389,"right","Midfielder",2030,1660,46283.4609090318,56.18,31.96,28,3.779,5.344
"Aaron Ramsey","A. Ramsey",45000000,"Central Midfield","English first division","Arsenal",7870,"right","Midfielder",1450,1226,31467.9304423929,59.11,35.07,63,11.587,11.439
"Aaron Wan-Bissaka","A. Wan-Bissaka",1000000,"Right-Back","English first division","Crystal Palace",486252,"right","Defender",226,165,4987.08969932618,49.74,57.14,0,0,0.439
"Abdallah Ndour","A. N'Dour",NA,"Left-Back","French first division","Strasbourg",209095,"left","Defender",95,77,2837.12697954237,58.33,8.76,0,0,0.138
"Abdelhamid Sabiri","A. Sabiri",1000000,"Attacking Midfield","English first division","Huddersfield Town",442211,"right","Midfielder",81,62,1742.85280425232,59.1,37.61,5,0.14,0.296
"Abdoul Camara","R. Camara",1000000,"Left Winger","French first division","Guingamp",25474,"left","Midfielder",284,211,5876.7431846355,66.18,38.41,17,2.797,1.261
"Abdoulaye Bamba","A. Bamba",1000000,"Right-Back","French first division","Angers",26368,"right","Defender",631,495,13342.8890705596,47.23,25.54,4,0.133,0.729
"Abdoulaye Doucouré","A. Doucouré",15000000,"Central Midfield","English first division","Watford",28292,"right","Midfielder",2178,1877,49543.9568482337,52.8,33.67,44,5.495,4.524
"Abdoulaye Touré","A. Touré",8000000,"Defensive Midfield","French first division","Nantes",217874,"right","Midfielder",1310,1070,30948.1669921008,49.21,32.99,39,1.387,1.415
"Abdoulaye Touré","A. Touré",8000000,"Defensive Midfield","French first division","Nantes",149101,"right","Defender",493,366,11366.2683767893,54.43,59.01,6,1.387,1.415
