"id","league","team","match_id","date","minute","result","outcome","xG","player","h_a","shotType","lastAction","shot_x","shot_y"
"1","EPL","Leicester",84,"2015-08-08 18:00:00",12,"BlockedShot","fail",0.16,"Shinji Okazaki","h","LeftFoot","Pass",99.75,36.58
"2","EPL","Leicester",84,"2015-08-08 18:00:00",17,"Goal","goal",0.14,"Riyad Mahrez","h","HeadOther","Cross",97.97,34.48
"3","EPL","Leicester",84,"2015-08-08 18:00:00",26,"SavedShot","fail",0.3,"Jamie Vardy","h","RightFoot","Pass",89.57,39.98
"4","EPL","Leicester",84,"2015-08-08 18:00:00",28,"MissedShots","fail",0.03,"Jeffrey Schlupp","h","HeadOther","Cross",95.97,42.02
"5","EPL","Leicester",84,"2015-08-08 18:00:00",39,"MissedShots","fail",0.12,"Riyad Mahrez","h","LeftFoot","Pass",89.98,34.48
"6","EPL","Leicester",84,"2015-08-08 18:00:00",46,"SavedShot","fail",0.02,"Daniel Drinkwater","h","RightFoot","Pass",76.55,35.77
"7","EPL","Leicester",84,"2015-08-08 18:00:00",50,"MissedShots","fail",0.35,"Jamie Vardy","h","RightFoot","Dribble",101.12,43.72
"8","EPL","Leicester",84,"2015-08-08 18:00:00",55,"ShotOnPost","fail",0.07,"Riyad Mahrez","h","LeftFoot","Pass",93.97,19.18
"9","EPL","Leicester",84,"2015-08-08 18:00:00",56,"SavedShot","fail",0.13,"Riyad Mahrez","h","RightFoot","Throughball",97.33,21.9
"10","EPL","Leicester",84,"2015-08-08 18:00:00",61,"MissedShots","fail",0.06,"Jamie Vardy","h","LeftFoot","Chipped",81.8,27.2
"11","EPL","Leicester",84,"2015-08-08 18:00:00",65,"Goal","goal",0.08,"Marc Albrighton","h","RightFoot","None",89.04,37.4
"12","EPL","Leicester",84,"2015-08-08 18:00:00",72,"MissedShots","fail",0.08,"Marc Albrighton","h","RightFoot","Pass",85.37,31.76
"13","EPL","Leicester",84,"2015-08-08 18:00:00",77,"MissedShots","fail",0.05,"Andy King","h","RightFoot","Pass",91.98,18.84
"14","EPL","Leicester",84,"2015-08-08 18:00:00",86,"BlockedShot","fail",0.12,"Shinji Okazaki","h","LeftFoot","Pass",91.14,31.01
